NO,分類,スキルカテゴリ,サブカテゴリ,スキルレベル,チェック項目,変更内容,column_8,SubNo,チェック項目（2023）,version,sheet,source_url
11,データエンジニアリング,環境構築,システム設計,★★,HTTPを活用したオープンAPIと分析システムのサーバー環境及びデータベースの連携設計ができる,,,11,HTTPを活用したオープンAPIと分析システムのサーバー環境及びデータベースの連携設計ができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
12,データエンジニアリング,環境構築,システム設計,★★,既存システムの各機能が参照・更新するデータの構造や関連付けを把握し、分析機能の追加や改修時にデータモデルの見直しが必要か判断できる,,,12,既存システムの各機能が参照・更新するデータの構造や関連付けを把握し、分析機能の追加や改修時にデータモデルの見直しが必要か判断できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
13,データエンジニアリング,環境構築,システム設計,★★,分析実行頻度の少ないシステムにおいて、分析非稼働時にはサービス削除し、必要時のみサービスを有効にすることでクラウドコストを最小化するシステム運用を設計できる,,,13,分析実行頻度の少ないシステムにおいて、分析非稼働時にはサービス削除し、必要時のみサービスを有効にすることでクラウドコストを最小化するシステム運用を設計できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
14,データエンジニアリング,環境構築,システム設計,★★,クラウドの運用管理サービスを利用して、クラウド上に構築した分析システムの監視やバックアップ等のシステム運用を実装できる,,,14,クラウドの運用管理サービスを利用して、クラウド上に構築した分析システムの監視やバックアップ等のシステム運用を実装できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
新,データエンジニアリング,環境構築,システム設計,★★,IaC（Infrastructure as Code）を活用して、サーバー、ネットワーク、ストレージなどのインフラ環境を再現性・自動化可能な形で構築・管理できる,新規,,,,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
15,データエンジニアリング,環境構築,システム設計,★★★,オンプレミス環境における分析システムのキャパシティ要件（データ容量）と必要処理性能（スループット）を定義できる,,,15,オンプレミス環境における分析システムのキャパシティ要件（データ容量）と必要処理性能（スループット）を定義できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
16,データエンジニアリング,環境構築,システム設計,★★★,クラウドのメリットとデメリットを比較して、必要に応じてオンプレミスのデータ分析システムをクラウド環境に移行できる,,,16,クラウドのメリットとデメリットを比較して、必要に応じてオンプレミスのデータ分析システムをクラウド環境に移行できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
17,データエンジニアリング,環境構築,システム設計,★★★,オンプレミス環境における大容量データストアに対して適切なデータ分散配置なども含めてシステム拡張方法や最適化の要件を整理できる,,,17,オンプレミス環境における大容量データストアに対して適切なデータ分散配置なども含めてシステム拡張方法や最適化の要件を整理できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
18,データエンジニアリング,環境構築,システム設計,★★,扱うデータのデータ規模や機密性、分析要件を理解した上で、オンプレミスで構築するか、クラウド上で構築するかの要件を整理できる,変更,,18,扱うデータのデータ規模や機密性、分析要件を理解した上で、オンプレミスで構築するか、クラウド上で構築するかの要件を整理できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
19,データエンジニアリング,環境構築,アーキテクチャ設計,★,ノーコード・ローコードツールを組み合わせ、要件に応じたアプリやツールを設計できる,,,19,ノーコード・ローコードツールを組み合わせ、要件に応じたアプリやツールを設計できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
20,データエンジニアリング,環境構築,アーキテクチャ設計,★,コンテナ技術の概要を理解しており、既存のDockerイメージを活用して効率的に分析環境を構築できる,,,20,コンテナ技術の概要を理解しており、既存のDockerイメージを活用して効率的に分析環境を構築できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
21,データエンジニアリング,環境構築,アーキテクチャ設計,★,分析環境を提供するクラウド上のマネージドサービス(Amazon SageMaker、Azure Machine Learning、Google Cloud Vertex AI、IBM watsonx.ai Studioなど)を利用して、機械学習モデルを開発できる,,,21,分析環境を提供するクラウド上のマネージドサービス(Amazon SageMaker、Azure Machine Learning、Google Cloud Vertex AI、IBM Watson Studioなど)を利用して、機械学習モデルを開発できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
新,データエンジニアリング,環境構築,アーキテクチャ設計,★,YAMLやJSONなど、プロジェクトで指定される形式を理解し、構成・設定ファイルを適切に記述・管理できる,新規,,,,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
22,データエンジニアリング,環境構築,アーキテクチャ設計,★★,分析者向けのRDBMS、NoSQL、ETL、Visualizationなど単一コンポーネントのユーザー利用機能の設計が行える,,,22,分析者向けのRDBMS、NoSQL、ETL、Visualizationなど単一コンポーネントのユーザー利用機能の設計が行える,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
23,データエンジニアリング,環境構築,アーキテクチャ設計,★★,深層学習（ディープラーニング）の学習を高速化するために、GPU（GPGPU）環境を実装できる,,,23,深層学習（ディープラーニング）の学習を高速化するために、GPU（GPGPU）環境を実装できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
24,データエンジニアリング,環境構築,アーキテクチャ設計,★★,Dockerコンテナ技術を用いてデータの蓄積環境・分析環境を構築し、再利用できる形でDockerイメージを管理できる,,,24,Dockerコンテナ技術を用いてデータの蓄積環境・分析環境を構築し、再利用できる形でDockerイメージを管理できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
25,データエンジニアリング,環境構築,アーキテクチャ設計,★★,コンテナオーケストレーションツール（Kubernetes、OpenShift、Amazon Elastic Container Serviceなど）を用いて複数のコンテナの配置と実行を管理できる,,,25,コンテナオーケストレーションツール（Kubernetes、OpenShift、Amazon Elastic Container Serviceなど）を用いて複数のコンテナの配置と実行を管理できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
26,データエンジニアリング,環境構築,アーキテクチャ設計,★★,開発した予測モデルをREST APIから呼び出せるように実装し、マイクロサービスのコンポーネントの一つとしてシステムに組み込むことができる,,,26,開発した予測モデルをREST APIから呼び出せるように実装し、マイクロサービスのコンポーネントの一つとしてシステムに組み込むことができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
27,データエンジニアリング,環境構築,アーキテクチャ設計,★★,自社のオンプレミス環境とプライベートクラウド環境を専用線やVPNを用いて接続し、オンプレミス環境上のデータをクラウド上のデータストアサービスにインターネットを介さず安全に格納するネットワークを設計できる,,,27,自社のオンプレミス環境とプライベートクラウド環境を専用線やVPNを用いて接続し、オンプレミス環境上のデータをクラウド上のデータストアサービスにインターネットを介さず安全に格納するネットワークを設計できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
28,データエンジニアリング,環境構築,アーキテクチャ設計,★★★,量子コンピュータにおけるロジックを検討する際に計算結果のゆらぎについて理解した上で、適切な処理フローやテスト手順を検討できる,,,28,量子コンピュータにおけるロジックを検討する際に計算結果のゆらぎについて理解した上で、適切な処理フローやテスト手順を検討できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
29,データエンジニアリング,環境構築,アーキテクチャ設計,★★★,量子コンピュータの量子計算の特徴や制約を理解し、量子コンピュータの計算性能を生かすユースケースを検討できる,,,29,量子コンピュータの量子計算の特徴や制約を理解し、量子コンピュータの計算性能を生かすユースケースを検討できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
30,データエンジニアリング,環境構築,アーキテクチャ設計,★★★,オンプレミス環境の物理サーバ上にHadoopやSparkなどを組み合わせて大容量データを管理する分散管理システムを設計できる,,,30,オンプレミス環境の物理サーバ上にHadoopやSparkなどを組み合わせて大容量データを管理する分散管理システムを設計できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
31,データエンジニアリング,環境構築,アーキテクチャ設計,★★★,KVS、カラム指向、ドキュメント指向などデータ構造の異なる複数のシステムからデータ取得と分析環境への連携を設計できる,,,31,KVS、カラム指向、ドキュメント指向などデータ構造の異なる複数のシステムからデータ取得と分析環境への連携を設計できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
32,データエンジニアリング,環境構築,アーキテクチャ設計,★★★,費用対効果が高いPaaS型サービスと設計自由度の高いIaaS環境のメリット、デメリットを理解し、PaaSとIaaSを組み合わせた効率的な分析システムを設計できる,,,32,費用対効果が高いPaaS型サービスと設計自由度の高いIaaS環境のメリット、デメリットを理解し、PaaSとIaaSを組み合わせた効率的な分析システムを設計できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
33,データエンジニアリング,環境構築,アーキテクチャ設計,★★★,Amazon Web Services（AWS)、Microsoft Azure、Google Cloud、IBM Cloudなど複数社のクラウドサービスを組み合わせたマルチクラウド構成を設計し、各社が提供する固有の分析サービスを連携して活用することができる,,,33,Amazon Web Services（AWS)、Microsoft Azure、Google Cloud、IBM Cloudなど複数社のクラウドサービスを組み合わせたマルチクラウド構成を設計し、各社が提供する固有の分析サービスを連携して活用することができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
34,データエンジニアリング,データ収集,クライアント技術,★,対象プラットフォーム（クラウドサービス、分析ソフトウェア）が提供する機能（SDKやAPIなど）の概要を説明できる,,,1,対象プラットフォーム（クラウドサービス、分析ソフトウェア）が提供する機能（SDKやAPIなど）の概要を説明できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
35,データエンジニアリング,データ収集,クライアント技術,★,Webクローラー・スクレイピングツールを用いてWebサイト上の静的コンテンツを分析用データとして収集できる,,,2,Webクローラー・スクレイピングツールを用いてWebサイト上の静的コンテンツを分析用データとして収集できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
36,データエンジニアリング,データ収集,クライアント技術,★★,対象プラットフォーム（IoTデバイス、スマートフォン、クラウドサービスなど）で取得可能なデータ項目から目的に応じてデータ収集システムを設計できる,,,3,対象プラットフォーム（IoTデバイス、スマートフォン、クラウドサービスなど）で取得可能なデータ項目から目的に応じてデータ収集システムを設計できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
37,データエンジニアリング,データ収集,クライアント技術,★★,エッジコンピューティング構成においてエッジデバイス側（端末側）で収集したログを、適切なタイミングでサーバ側に転送・集約するデータ収集の仕組みを設計できる,,,4,エッジコンピューティング構成においてエッジデバイス側（端末側）で収集したログを、適切なタイミングでサーバ側に転送・集約するデータ収集の仕組みを設計できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
38,データエンジニアリング,データ収集,クライアント技術,★★★,センター側で学習した予測モデルを、ネットワーク経由でエッジデバイスに配信して、エッジデバイス側で予測・分析を行うエッジAIシステムを設計できる,,,5,センター側で学習した予測モデルを、ネットワーク経由でエッジデバイスに配信して、エッジデバイス側で予測・分析を行うエッジAIシステムを設計できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
39,データエンジニアリング,データ収集,通信技術,★,システムやネットワーク機器に用意された通信機能（HTTPS、SFTPなど）を用い、データを収集先に格納するための機能を実装できる,変更,,6,システムやネットワーク機器に用意された通信機能（HTTP、FTPなど）を用い、データを収集先に格納するための機能を実装できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
40,データエンジニアリング,データ収集,通信技術,★★,データ収集対象の要件に応じて、MQTT（Message Queue Telemetry Transport）によるパブリッシュ/サブスクライブ型の通信を検討・実装できる,,,7,データ収集対象の要件に応じて、MQTT（Message Queue Telemetry Transport）によるパブリッシュ/サブスクライブ型の通信を検討・実装できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
41,データエンジニアリング,データ収集,通信技術,★★,既存のデータ収集システムの通信回線を5GやLPWA(Low Power Wide Area)など既存と異なる通信規格に変更することにより発生する影響を評価できる,,,8,既存のデータ収集システムの通信回線を5GやLPWA(Low Power Wide Area)など既存と異なる通信規格に変更することにより発生する影響を評価できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
42,データエンジニアリング,データ収集,通信技術,★★,ネットワークプロトコルや暗号化などの通信技術を用い、通信のボトルネックと可用性（継続的に通信が成立していること）を考慮した上で、必要な通信機能を実装できる,,,9,ネットワークプロトコルや暗号化などの通信技術を用い、通信のボトルネックと可用性（継続的に通信が成立していること）を考慮した上で、必要な通信機能を実装できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
43,データエンジニアリング,データ収集,通信技術,★★★,自動車の自動運転やドローン操縦で使用される無線通信網の特性や制約を理解して、移動体から取得するデータや取得方式を設計できる,,,10,自動車の自動運転やドローン操縦で使用される無線通信網の特性や制約を理解して、移動体から取得するデータや取得方式を設計できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
44,データエンジニアリング,データ収集,通信技術,★★★,データ通信において、機能・性能の問題に対し根本原因を特定できるだけでなく、必要に応じて新規技術の適用を検討できる,,,11,データ通信において、機能・性能の問題に対し根本原因を特定できるだけでなく、必要に応じて新規技術の適用を検討できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
45,データエンジニアリング,データ収集,データ抽出,★,社内のシステムやサービスから必要な情報を取り出し、Excel形式の小規模なデータセットを作成できる,変更,,12,データベースから何らかのデータ抽出方法を活用し、小規模なExcelのデータセットを作成できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
46,データエンジニアリング,データ収集,データ収集,★,既存のサービスやアプリケーションに対して、分析をするためのログ出力の仕様を整理することができる,,,13,既存のサービスやアプリケーションに対して、分析をするためのログ出力の仕様を整理することができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
47,データエンジニアリング,データ収集,データ収集,★★,FluentdやLogstashなどのログ収集ツールを用いて形式の異なる複数サーバのログを収集し分析可能な形式に変換して蓄積することができる,,,14,FluentdやLogstashなどのログ収集ツールを用いて形式の異なる複数サーバのログを収集し分析可能な形式に変換して蓄積することができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
48,データエンジニアリング,データ収集,データ収集,★★,GDPRや個人情報保護法を理解し、ユーザからの削除申請があった場合はユーザに関連する全ての情報を一括消去する機能を設計できる,変更,,15,GDPRや個人情報保護法を理解し、ユーザからの削除申請があった場合はユーザに関連する全ての情報を一括消去する機能を設計できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
49,データエンジニアリング,データ収集,データ収集,★★★,入手可能なデータに加え、分析結果の品質・効果を向上させる新たなデータ入手方法を提案できる（IoTでの新設センサーの種類、配置場所、データ入手間隔など）,,,16,入手可能なデータに加え、分析結果の品質・効果を向上させる新たなデータ入手方法を提案できる（IoTでの新設センサーの種類、配置場所、データ入手間隔など）,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
50,データエンジニアリング,データ収集,データ統合,★★,データフォーマットの異なる同一内容のデータ（会員情報、商品マスタなど）を統合する処理を設計できる,,,17,データフォーマットの異なる同一内容のデータ（会員情報、商品マスタなど）を統合する処理を設計できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
51,データエンジニアリング,データ収集,データ統合,★★★,組織統合などにより異なるコード定義やフォーマットが混在する複数システムのデータを統合し利活用するシステムを設計できる,,,18,組織統合などにより異なるコード定義やフォーマットが混在する複数システムのデータを統合し利活用するシステムを設計できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
52,データエンジニアリング,データ収集,データ統合,★★★,システム分析・業務分析を基に、最適なデータフロー管理やジョブ管理のツール（データパイプラインの自動化ツール、データファブリックやデータメッシュなどの分散データ管理ツール、リアルタイム処理ツールなど）を選定・評価できる,変更,,19,システム分析・業務分析をもとに、必要なデータフロー管理やジョブ管理などのツールを選定・評価できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
53,データエンジニアリング,データ構造,基礎知識,★,扱うデータが、構造化データ（顧客データ、商品データ、在庫データなど）か非構造化データ（雑多なテキスト、音声、画像、動画など）なのかを判断できる,,,1,扱うデータが、構造化データ（顧客データ、商品データ、在庫データなど）か非構造化データ（雑多なテキスト、音声、画像、動画など）なのかを判断できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
54,データエンジニアリング,データ構造,基礎知識,★,ER図を読んでテーブル間のリレーションシップを理解できる,,,2,ER図を読んでテーブル間のリレーションシップを理解できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
55,データエンジニアリング,データ構造,要件定義,★★,業務で使用するデータのライフサイクル（いつ、どんなデータが発生し、いつまで保持されているのかなど）を把握して、論理モデルを作成できる,,,3,業務で使用するデータのライフサイクル（いつ、どんなデータが発生し、いつまで保持されているのかなど）を把握して、論理モデルを作成できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
56,データエンジニアリング,データ構造,要件定義,★★,データ保持ルール（データアクセス、性能、保持期間、セキュリティなど）に基づき、データベース・DWHの運用ルールを定義できる,,,4,データ保持ルール（データアクセス、性能、保持期間、セキュリティなど）に基づき、データベース・DWHの運用ルールを定義できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
57,データエンジニアリング,データ構造,テーブル定義,★,正規化手法（第一正規化～第三正規化）を用いてテーブルを正規化できる,,,5,正規化手法（第一正規化～第三正規化）を用いてテーブルを正規化できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
58,データエンジニアリング,データ構造,テーブル定義,★★,ビジネスプロセスを理解・整理して、データフロー図、論理データモデル、ER図、テーブル定義書を作成できる,,,6,ビジネスプロセスを理解・整理して、データフロー図、論理データモデル、ER図、テーブル定義書を作成できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
59,データエンジニアリング,データ構造,テーブル定義,★★,業務特性や基幹システムの特徴をもとに、検索で頻繁に使用するデータのキー（顧客IDなど）を想定し、インデックスを作成・設定できる,,,7,業務特性や基幹システムの特徴をもとに、検索で頻繁に使用するデータのキー（顧客IDなど）を想定し、インデックスを作成・設定できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
60,データエンジニアリング,データ構造,テーブル定義,★★,データ集計を高速化またはSQLを単純化するため、スタースキーマ、スノーフレークスキーマなどを用いたデータモデルを設計できる,,,8,データ集計を高速化またはSQLを単純化するため、スタースキーマ、スノーフレークスキーマなどを用いたデータモデルを設計できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
61,データエンジニアリング,データ構造,テーブル設計,★★,稼働中の複数のシステム間で発生するデータ項目の差異を、変換テーブルを活用して、埋めることができる,,,9,稼働中の複数のシステム間で発生するデータ項目の差異を、変換テーブルを活用して、埋めることができる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
62,データエンジニアリング,データ構造,テーブル設計,★★,DWHに入れる元データ（基幹DBのデータなど）のキーに変更があった場合に、サロゲートキーやナビゲーションブリッジテーブルを用いて対応できる,,,10,DWHに入れる元データ（基幹DBのデータなど）のキーに変更があった場合に、サロゲートキーやナビゲーションブリッジテーブルを用いて対応できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
63,データエンジニアリング,データ構造,テーブル設計,★★,非正規化テーブルや一時テーブルなどを作成し、アプリケーションの処理速度を高速化できる,,,11,非正規化テーブルや一時テーブルなどを作成し、アプリケーションの処理速度を高速化できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
64,データエンジニアリング,データ蓄積,DWH,★,DWHアプライアンス（Oracle Exadata Database Machine、IBM Integrated Analytics Systemなど）に接続し、複数テーブルを結合したデータを抽出できる,,,1,DWHアプライアンス（Oracle Exadata Database Machine、IBM Integrated Analytics Systemなど）に接続し、複数テーブルを結合したデータを抽出できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
65,データエンジニアリング,データ蓄積,DWH,★★,DWHアプライアンス（Oracle Exadata Database Machine、IBM Integrated Analytics Systemなど）の機能と特徴を理解し、適切な管理対象データを選定できる,,,2,DWHアプライアンス（Oracle Exadata Database Machine、IBM Integrated Analytics Systemなど）の機能と特徴を理解し、適切な管理対象データを選定できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
66,データエンジニアリング,データ蓄積,分散技術,★,HadoopやSparkの分散技術の基本的な仕組みと構成を理解している,,,3,HadoopやSparkの分散技術の基本的な仕組みと構成を理解している,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
67,データエンジニアリング,データ蓄積,分散技術,★,NoSQLデータストア（Cassandra、Mongo DB、CouchDB、Amazon DynamoDB、Azure Cosmos DB、Google Cloud Firestoreなど）にAPIを介してアクセスし、新規データを登録できる,変更,,4,NoSQLデータストア（HBase、Cassandra、Mongo DB、CouchDB、Amazon DynamoDB、Azure Cosmos DB、Google Cloud Firestoreなど）にAPIを介してアクセスし、新規データを登録できる,6.00,新旧対応（エンジニアリング力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
