version,area,sheet,no,subno,phase,section,category,subcategory,skill_level,skill_level_rank,vc,ds,de,bz,required_skill,old_division,skill_definition,ai_utilization,ai_utilization_type,ai_category,item_id,item,notes,source_url
6.00,foundation,基盤,12,4,,,論理的思考,構造化能力,★,1,,,,,〇,旧BZ,,,,,foundation-0012,与えられた分析課題に対し、初動として様々な情報を収集し、大まかな構造を把握することの重要性を理解している,No: 12 | Sub No: 4 | スキルカテゴリ: 論理的思考 | サブカテゴリ: 構造化能力 | スキルレベル: ★ | 必須 スキル: 〇 | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,13,5,,,論理的思考,構造化能力,★★,2,,,,,〇,旧BZ,,,,,foundation-0013,様々なデータや事象を、階層やグルーピングによって、適切に構造化できる,No: 13 | Sub No: 5 | スキルカテゴリ: 論理的思考 | サブカテゴリ: 構造化能力 | スキルレベル: ★★ | 必須 スキル: 〇 | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,14,6,,,論理的思考,言語化能力,★,1,,,,,〇,旧BZ,,,,,foundation-0014,対象となる事象が通常見受けられる場合において、分析結果の意味合いを正しく言語化できる,No: 14 | Sub No: 6 | スキルカテゴリ: 論理的思考 | サブカテゴリ: 言語化能力 | スキルレベル: ★ | 必須 スキル: 〇 | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,15,7,,,論理的思考,言語化能力,★★,2,,,,,,旧BZ,,,,,foundation-0015,対象となる事象が通常見受けられない場合においても、分析結果の意味合いを既知の表現を組み合わせ、言語化できる,No: 15 | Sub No: 7 | スキルカテゴリ: 論理的思考 | サブカテゴリ: 言語化能力 | スキルレベル: ★★ | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,16,1,,,課題の定義,KPI,★,1,,,,,,旧BZ,,,,,foundation-0016,担当する分析プロジェクトにおいて、当該事業の収益モデルと主要な変数を理解している,No: 16 | Sub No: 1 | スキルカテゴリ: 課題の定義 | サブカテゴリ: KPI | スキルレベル: ★ | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,17,1,,,アプローチ設計,生成AI活用,★,1,,,,,〇,旧BZ,,,,,foundation-0017,大規模言語モデルにおいては、事実と異なる内容がさも正しいかのように生成されることがあること（Hallucination）、これらが根本的に避けることができないことを踏まえ、利用に際しては出力を鵜呑みにしない等の注意が必要であることを知っている,No: 17 | Sub No: 1 | スキルカテゴリ: アプローチ設計 | サブカテゴリ: 生成AI活用 | スキルレベル: ★ | 必須 スキル: 〇 | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,18,2,,,アプローチ設計,生成AI活用,★,1,,,,,,旧BZ,,,,,foundation-0018,Hallucinationが起きていることに気づくための適切なアクションをとることができる（検索等によるリサーチ結果との比較や、他LLMの出力結果との比較、正確な追加情報を入力データに付与することによる出力結果の変化比較など）,No: 18 | Sub No: 2 | スキルカテゴリ: アプローチ設計 | サブカテゴリ: 生成AI活用 | スキルレベル: ★ | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,19,3,,,アプローチ設計,生成AI活用,★★,2,,,,,,旧BZ,,,,,foundation-0019,大規模言語モデルでの Hallucination に惑わされないために、どのような質問は適切で、どのような質問が適切でないかを判断して利用できる,No: 19 | Sub No: 3 | スキルカテゴリ: アプローチ設計 | サブカテゴリ: 生成AI活用 | スキルレベル: ★★ | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,20,1,,,データ理解,統計情報への正しい理解,★,1,,＊,,,〇,旧BZ,,,,,foundation-0020,単なるローデータとしての実数だけを見ても判断出来ない事象が大多数であり、母集団に占める割合などの比率的な指標でなければ数字の比較に意味がないことがわかっている,No: 20 | Sub No: 1 | スキルカテゴリ: データ理解 | サブカテゴリ: 統計情報への正しい理解 | スキルレベル: ★ | DS: ＊ | 必須 スキル: 〇 | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,21,2,,,データ理解,統計情報への正しい理解,★,1,,＊,,,〇,旧BZ,,,,,foundation-0021,ニュース記事などで統計情報に接したときに、数字やグラフの不適切な解釈に気づくことができる,No: 21 | Sub No: 2 | スキルカテゴリ: データ理解 | サブカテゴリ: 統計情報への正しい理解 | スキルレベル: ★ | DS: ＊ | 必須 スキル: 〇 | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,22,3,,,データ理解,統計情報への正しい理解,★★,2,,＊,,,,旧BZ,,,,,foundation-0022,自身の判断に必要となる統計情報を積極的に収集するとともに、表現に惑わされず数字を正当に評価できる（原点が0ではないグラフ、不要な3D化、不要な2軸化、目盛りの未記載など）,No: 22 | Sub No: 3 | スキルカテゴリ: データ理解 | サブカテゴリ: 統計情報への正しい理解 | スキルレベル: ★★ | DS: ＊ | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,23,4,,,データ理解,統計情報への正しい理解,★★★,3,,＊,,,,旧BZ,,,,,foundation-0023,統計情報から有益な知見を得るために、何と比較するべきかすみやかに把握し、収集・利用できる（業務データや過去に接触した統計情報の想起・活用を含む）,No: 23 | Sub No: 4 | スキルカテゴリ: データ理解 | サブカテゴリ: 統計情報への正しい理解 | スキルレベル: ★★★ | DS: ＊ | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,24,5,,,データ理解,ビジネス観点での理解,★,1,,,,,〇,旧BZ,,,,,foundation-0024,ビジネス観点で仮説を持ってデータをみることの重要性と、仮に仮説と異なる結果となった場合にも、それが重大な知見である可能性を理解している,No: 24 | Sub No: 5 | スキルカテゴリ: データ理解 | サブカテゴリ: ビジネス観点での理解 | スキルレベル: ★ | 必須 スキル: 〇 | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,25,6,,,データ理解,ビジネス観点での理解,★★,2,,＊,,,,旧BZ,,,,,foundation-0025,統計手法を用いる際の閾値の設定に対して、ビジネス観点で納得感のある調整ができる（年齢の刻み、商品単価、購入周期を考慮した量的変数のカテゴライズなど）,No: 25 | Sub No: 6 | スキルカテゴリ: データ理解 | サブカテゴリ: ビジネス観点での理解 | スキルレベル: ★★ | DS: ＊ | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,26,7,,,データ理解,ビジネス観点での理解,★★★,3,,,,,〇,旧BZ,,,,,foundation-0026,分析プロセス全体を通して、ビジネス観点での妥当性をチェックし、データから得られた示唆が価値ある知見であるかを都度判断できる,No: 26 | Sub No: 7 | スキルカテゴリ: データ理解 | サブカテゴリ: ビジネス観点での理解 | スキルレベル: ★★★ | 必須 スキル: 〇 | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,27,8,,,データ理解,意味合いの抽出、洞察,★,1,,＊,,,,旧BZ,,,,,foundation-0027,分析結果を元に、起きている事象の背景や意味合い（真実）を見抜くことができる,No: 27 | Sub No: 8 | スキルカテゴリ: データ理解 | サブカテゴリ: 意味合いの抽出、洞察 | スキルレベル: ★ | DS: ＊ | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,28,9,,,データ理解,意味合いの抽出、洞察,★★,2,,＊,,,,旧BZ,,,,,foundation-0028,分析結果を元に、特異点、相違性、傾向性、関連性を見出した上で、ビジネス上の意味を捉えるためにドメイン知識を持つ人に適切な質問を投げかけられる,No: 28 | Sub No: 9 | スキルカテゴリ: データ理解 | サブカテゴリ: 意味合いの抽出、洞察 | スキルレベル: ★★ | DS: ＊ | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,29,10,,,データ理解,意味合いの抽出、洞察,★★,2,,＊,,,,旧BZ,,,,,foundation-0029,分析結果を元に、意味合いの明確化に向けた分析の深掘り、分析対象データの見直しについて方向性を設計できる,No: 29 | Sub No: 10 | スキルカテゴリ: データ理解 | サブカテゴリ: 意味合いの抽出、洞察 | スキルレベル: ★★ | DS: ＊ | 旧区分: 旧BZ,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,30,1,,,データの理解・検証,俯瞰・メタ思考,★,1,,,,＊,〇,DS,,,,,foundation-0030,データが生み出される経緯・背景を考え、データを鵜呑みにはしないことの重要性を理解している,No: 30 | Sub No: 1 | スキルカテゴリ: データの理解・検証 | サブカテゴリ: 俯瞰・メタ思考 | スキルレベル: ★ | BZ: ＊ | 必須 スキル: 〇 | 旧区分: DS,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,31,1,,,データ可視化,方向性定義,★,1,,,,＊,〇,DS,,,,,foundation-0031,データの性質を理解するために、データを可視化し眺めて考えることの重要性を理解している,No: 31 | Sub No: 1 | スキルカテゴリ: データ可視化 | サブカテゴリ: 方向性定義 | スキルレベル: ★ | BZ: ＊ | 必須 スキル: 〇 | 旧区分: DS,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,32,1,,,ITセキュリティ,攻撃と防御手法,★,1,,＊,,＊,〇,DE,,,,,foundation-0032,マルウェアなどによる深刻なリスクの種類（消失・漏洩・サービスの停止など）を理解している,No: 32 | Sub No: 1 | スキルカテゴリ: ITセキュリティ | サブカテゴリ: 攻撃と防御手法 | スキルレベル: ★ | BZ: ＊ | DS: ＊ | 必須 スキル: 〇 | 旧区分: DE,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,foundation,基盤,33,1,,,生成AI,生成AI活用,★,1,,,,,,DE,,,,,foundation-0033,生成AIの仕組みを理解し、業務や課題解決に活用できる 生成AIについて基礎的な知識や活用方法を理解している,No: 33 | Sub No: 1 | スキルカテゴリ: 生成AI | サブカテゴリ: 生成AI活用 | スキルレベル: ★ | 旧区分: DE,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,value-creation,価値創造力,1,1,構想・探索 （Visioning）,,技術・社会潮流の洞察 （Trend Sensing & Technological Foresight）,技術・社会潮流の洞察,★,1,,＊,＊,,◯,,世界や社会の変化を流行ではなく構造として読み解き、技術革新がもたらす転換点を先読みする力。過去のパターンを超えて未来の意味構造を描き、組織や産業の方向性に新たな文脈を与える,,,,value-creation-0001,主要な技術・社会トレンドを理解し、基本的な因果関係を説明できる,No: 1 | SubNo: 1 | フェーズ: 構想・探索 （Visioning） | スキルカテゴリ: 技術・社会潮流の洞察 （Trend Sensing & Technological Foresight） | サブカテゴリ: 技術・社会潮流の洞察 | ★ 必須: ◯ | DS: ＊ | DE: ＊,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,value-creation,価値創造力,1,1,構想・探索 （Visioning）,,技術・社会潮流の洞察 （Trend Sensing & Technological Foresight）,技術・社会潮流の洞察,★★,2,,＊,＊,,,,世界や社会の変化を流行ではなく構造として読み解き、技術革新がもたらす転換点を先読みする力。過去のパターンを超えて未来の意味構造を描き、組織や産業の方向性に新たな文脈を与える,,,,value-creation-0002,技術・文化・制度変化の交差点を見抜き、変化の本質を言語化できる,No: 1 | SubNo: 1 | フェーズ: 構想・探索 （Visioning） | スキルカテゴリ: 技術・社会潮流の洞察 （Trend Sensing & Technological Foresight） | サブカテゴリ: 技術・社会潮流の洞察 | ★ 必須: ◯ | DS: ＊ | DE: ＊,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,value-creation,価値創造力,1,1,構想・探索 （Visioning）,,技術・社会潮流の洞察 （Trend Sensing & Technological Foresight）,技術・社会潮流の洞察,★★★,3,,＊,＊,,,,世界や社会の変化を流行ではなく構造として読み解き、技術革新がもたらす転換点を先読みする力。過去のパターンを超えて未来の意味構造を描き、組織や産業の方向性に新たな文脈を与える,,,,value-creation-0003,新たな時代の兆しを物語として構築し、社会や産業の方向性を先導できる,No: 1 | SubNo: 1 | フェーズ: 構想・探索 （Visioning） | スキルカテゴリ: 技術・社会潮流の洞察 （Trend Sensing & Technological Foresight） | サブカテゴリ: 技術・社会潮流の洞察 | ★ 必須: ◯ | DS: ＊ | DE: ＊,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,value-creation,価値創造力,2,2,構想・探索 （Visioning）,,技術・社会潮流の洞察 （Trend Sensing & Technological Foresight）,構造的因果の理解,★,1,,,,,◯,,技術・文化・環境・制度など複数要因の連関を捉え、変化の背後にある因果構造を見抜く力。個別トレンドを越えて、社会・産業システム全体の変化モデルを構築する,,,,value-creation-0004,単一領域での因果関係の仮説を整理し、説明できる,No: 2 | SubNo: 2 | フェーズ: 構想・探索 （Visioning） | スキルカテゴリ: 技術・社会潮流の洞察 （Trend Sensing & Technological Foresight） | サブカテゴリ: 構造的因果の理解 | ★ 必須: ◯ | ★★ 必須: ◯,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,value-creation,価値創造力,2,2,構想・探索 （Visioning）,,技術・社会潮流の洞察 （Trend Sensing & Technological Foresight）,構造的因果の理解,★★,2,,,,,◯,,技術・文化・環境・制度など複数要因の連関を捉え、変化の背後にある因果構造を見抜く力。個別トレンドを越えて、社会・産業システム全体の変化モデルを構築する,,,,value-creation-0005,複数の要因を関連づけて因果構造を分析できる,No: 2 | SubNo: 2 | フェーズ: 構想・探索 （Visioning） | スキルカテゴリ: 技術・社会潮流の洞察 （Trend Sensing & Technological Foresight） | サブカテゴリ: 構造的因果の理解 | ★ 必須: ◯ | ★★ 必須: ◯,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,value-creation,価値創造力,2,2,構想・探索 （Visioning）,,技術・社会潮流の洞察 （Trend Sensing & Technological Foresight）,構造的因果の理解,★★★,3,,,,,,,技術・文化・環境・制度など複数要因の連関を捉え、変化の背後にある因果構造を見抜く力。個別トレンドを越えて、社会・産業システム全体の変化モデルを構築する,,,,value-creation-0006,産業や社会システム全体の因果モデルを設計し、方向性を提言できる,No: 2 | SubNo: 2 | フェーズ: 構想・探索 （Visioning） | スキルカテゴリ: 技術・社会潮流の洞察 （Trend Sensing & Technological Foresight） | サブカテゴリ: 構造的因果の理解 | ★ 必須: ◯ | ★★ 必須: ◯,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,value-creation,価値創造力,3,3,構想・探索 （Visioning）,,技術・社会潮流の洞察 （Trend Sensing & Technological Foresight）,変化のストーリー化,★,1,,,,,◯,,技術・社会・文化の変化を、継続と断絶のストーリーとして再構成し、組織が自身の未来像を理解できる共通言語に変換する力。個別の事象や変化を超えて“なぜそれが今起きているか”を語ることで、未来の洞察を共有知にする,,,,value-creation-0007,変化の出来事を整理し、概要を説明できる,No: 3 | SubNo: 3 | フェーズ: 構想・探索 （Visioning） | スキルカテゴリ: 技術・社会潮流の洞察 （Trend Sensing & Technological Foresight） | サブカテゴリ: 変化のストーリー化 | ★ 必須: ◯,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,value-creation,価値創造力,3,3,構想・探索 （Visioning）,,技術・社会潮流の洞察 （Trend Sensing & Technological Foresight）,変化のストーリー化,★★,2,,,,,,,技術・社会・文化の変化を、継続と断絶のストーリーとして再構成し、組織が自身の未来像を理解できる共通言語に変換する力。個別の事象や変化を超えて“なぜそれが今起きているか”を語ることで、未来の洞察を共有知にする,,,,value-creation-0008,変化の連続性と転換点を明確に区別して語れる,No: 3 | SubNo: 3 | フェーズ: 構想・探索 （Visioning） | スキルカテゴリ: 技術・社会潮流の洞察 （Trend Sensing & Technological Foresight） | サブカテゴリ: 変化のストーリー化 | ★ 必須: ◯,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,value-creation,価値創造力,3,3,構想・探索 （Visioning）,,技術・社会潮流の洞察 （Trend Sensing & Technological Foresight）,変化のストーリー化,★★★,3,,,,,,,技術・社会・文化の変化を、継続と断絶のストーリーとして再構成し、組織が自身の未来像を理解できる共通言語に変換する力。個別の事象や変化を超えて“なぜそれが今起きているか”を語ることで、未来の洞察を共有知にする,,,,value-creation-0009,未来のストーリーを構築し、組織の方向性を形成できる,No: 3 | SubNo: 3 | フェーズ: 構想・探索 （Visioning） | スキルカテゴリ: 技術・社会潮流の洞察 （Trend Sensing & Technological Foresight） | サブカテゴリ: 変化のストーリー化 | ★ 必須: ◯,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,value-creation,価値創造力,4,1,構想・探索 （Visioning）,,課題の再定義 （Problem Redefinition）,未充足ニーズの洞察,★,1,,,,,◯,,表層的な課題の背後にある未充足ニーズを洞察し、価値創造の焦点を見立てる力。既存のビジネス構造や常識を超えて、社会や組織にとっての本質的課題を再設定する,,,,value-creation-0010,顕在化した課題を整理し、既存の枠組みで説明できる,No: 4 | SubNo: 1 | フェーズ: 構想・探索 （Visioning） | スキルカテゴリ: 課題の再定義 （Problem Redefinition） | サブカテゴリ: 未充足ニーズの洞察 | ★ 必須: ◯ | ★★ 必須: ◯,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,value-creation,価値創造力,4,1,構想・探索 （Visioning）,,課題の再定義 （Problem Redefinition）,未充足ニーズの洞察,★★,2,,,,,◯,,表層的な課題の背後にある未充足ニーズを洞察し、価値創造の焦点を見立てる力。既存のビジネス構造や常識を超えて、社会や組織にとっての本質的課題を再設定する,,,,value-creation-0011,潜在ニーズや構造的問題を特定し、新たな課題を設定できる,No: 4 | SubNo: 1 | フェーズ: 構想・探索 （Visioning） | スキルカテゴリ: 課題の再定義 （Problem Redefinition） | サブカテゴリ: 未充足ニーズの洞察 | ★ 必須: ◯ | ★★ 必須: ◯,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,value-creation,価値創造力,4,1,構想・探索 （Visioning）,,課題の再定義 （Problem Redefinition）,未充足ニーズの洞察,★★★,3,,,,,,,表層的な課題の背後にある未充足ニーズを洞察し、価値創造の焦点を見立てる力。既存のビジネス構造や常識を超えて、社会や組織にとっての本質的課題を再設定する,,,,value-creation-0012,社会的・文化的文脈を含めた本質課題を再定義し、新しい焦点を提示できる,No: 4 | SubNo: 1 | フェーズ: 構想・探索 （Visioning） | スキルカテゴリ: 課題の再定義 （Problem Redefinition） | サブカテゴリ: 未充足ニーズの洞察 | ★ 必須: ◯ | ★★ 必須: ◯,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,value-creation,価値創造力,5,2,構想・探索 （Visioning）,,課題の再定義 （Problem Redefinition）,構造転換,★,1,,,,,◯,,既存の課題構造や慣習的前提を可視化し、それを再構成することで新しい問題解決の道筋をつくる力。変化に適応するだけでなく、問題の枠組みそのものを転換する,,,,value-creation-0013,現状の課題構造を整理し、説明できる,No: 5 | SubNo: 2 | フェーズ: 構想・探索 （Visioning） | スキルカテゴリ: 課題の再定義 （Problem Redefinition） | サブカテゴリ: 構造転換 | ★ 必須: ◯ | ★★ 必須: ◯,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,value-creation,価値創造力,5,2,構想・探索 （Visioning）,,課題の再定義 （Problem Redefinition）,構造転換,★★,2,,,,,◯,,既存の課題構造や慣習的前提を可視化し、それを再構成することで新しい問題解決の道筋をつくる力。変化に適応するだけでなく、問題の枠組みそのものを転換する,,,,value-creation-0014,背後の構造的要因を可視化し、問題を再構成するための方向性を示せる,No: 5 | SubNo: 2 | フェーズ: 構想・探索 （Visioning） | スキルカテゴリ: 課題の再定義 （Problem Redefinition） | サブカテゴリ: 構造転換 | ★ 必須: ◯ | ★★ 必須: ◯,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,value-creation,価値創造力,5,2,構想・探索 （Visioning）,,課題の再定義 （Problem Redefinition）,構造転換,★★★,3,,,,,,,既存の課題構造や慣習的前提を可視化し、それを再構成することで新しい問題解決の道筋をつくる力。変化に適応するだけでなく、問題の枠組みそのものを転換する,,,,value-creation-0015,問題の枠組みそのものを転換し、新しい意味づけを創出できる,No: 5 | SubNo: 2 | フェーズ: 構想・探索 （Visioning） | スキルカテゴリ: 課題の再定義 （Problem Redefinition） | サブカテゴリ: 構造転換 | ★ 必須: ◯ | ★★ 必須: ◯,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,value-creation,価値創造力,6,3,構想・探索 （Visioning）,,課題の再定義 （Problem Redefinition）,新視点の提示,★,1,,,,,,,従来の問題設定を超え、異なる領域や視座を組み合わせて新しい問いを提示する力。組織の思考の枠を揺さぶり、変化のための新しい観点を導入する,,,,value-creation-0016,他分野や他視点を取り入れて新しい切り口を提示できる,No: 6 | SubNo: 3 | フェーズ: 構想・探索 （Visioning） | スキルカテゴリ: 課題の再定義 （Problem Redefinition） | サブカテゴリ: 新視点の提示,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
6.00,value-creation,価値創造力,6,3,構想・探索 （Visioning）,,課題の再定義 （Problem Redefinition）,新視点の提示,★★,2,,,,,,,従来の問題設定を超え、異なる領域や視座を組み合わせて新しい問いを提示する力。組織の思考の枠を揺さぶり、変化のための新しい観点を導入する,,,,value-creation-0017,新しい切り口を組織に適応し得る形で提示できる,No: 6 | SubNo: 3 | フェーズ: 構想・探索 （Visioning） | スキルカテゴリ: 課題の再定義 （Problem Redefinition） | サブカテゴリ: 新視点の提示,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
